GROUP_DESC,COMMODITY_DESC,CLASS_DESC,VALUE,CROP_SP,IN_CDL,CDL_CAT
VEGETABLES,GARLIC,ALL CLASSES,22223,GARLIC,TRUE,GARLIC
VEGETABLES,GINGER ROOT,ALL CLASSES,51,GINGER ROOT,FALSE,MISC VEGS & FRUITS
VEGETABLES,GINSENG,ALL CLASSES,543,GINSENG,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,GRAPEFRUIT,ALL CLASSES,85182,VINES,TRUE,VINES
FRUIT & TREE NUTS,GRAPES,ALL CLASSES,1131935,VINES,TRUE,VINES
FIELD CROPS,GRASSES,FESCUE,199585,FESCUE,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BAHIA GRASS,5759,BAHIA GRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,RYEGRASS,237705,RYEGRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,"BLUEGRASS, KENTUCKY",46708,"BLUEGRASS, KENTUCKY",FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BERMUDA GRASS,200,BERMUDA GRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,SUDANGRASS,628,SUDANGRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BROMEGRASS,861,BROMEGRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,WHEATGRASS,468,"WHEAT, COMMON",TRUE,"WHEAT, COMMON"
FIELD CROPS,GRASSES,ORCHARDGRASS,12409,ORCHARDGRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,TIMOTHY,1034,TIMOTHY,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BENTGRASS,4022,BENTGRASS,FALSE,SOD/GRASS
FIELD CROPS,"GRASSES & LEGUMES, OTHER",ALL CLASSES,7550,torm,NA,SOD/GRASS
VEGETABLES,GREENS,TURNIP,3405,TURNIPS,TRUE,TURNIPS
VEGETABLES,GREENS,COLLARD,9783.5,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
VEGETABLES,GREENS,MUSTARD,4203,MUSTARD,TRUE,MUSTARD
VEGETABLES,GREENS,KALE,4915,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
FIELD CROPS,GUAR,ALL CLASSES,4483,GUAR,FALSE,OTHER CROPS
FRUIT & TREE NUTS,GUAVAS,ALL CLASSES,1787.5,GUAVAS,FALSE,MISC VEGS & FRUITS
FIELD CROPS,HAY,ALL CLASSES,51526704,torm,NA,NA
FIELD CROPS,HAY,ALFALFA,16527052,ALFALFA,TRUE,ALFALFA
FIELD CROPS,HAY,SMALL GRAIN,3599064,torm,NA,NA
FIELD CROPS,HAY,WILD,7232175,torm,NA,NA
FIELD CROPS,HAY,"TAME, (EXCL ALFALFA & SMALL GRAIN)",23543541,torm,NA,NA
FIELD CROPS,HAY & HAYLAGE,ALL CLASSES,55762385,torm,NA,NA
FIELD CROPS,HAYLAGE,(EXCL ALFALFA),2007671,torm,NA,NA
FIELD CROPS,HAYLAGE,ALL CLASSES,5437143,torm,NA,NA
FIELD CROPS,HAYLAGE,ALFALFA,2878753,ALFALFA,TRUE,ALFALFA
FRUIT & TREE NUTS,HAZELNUTS,ALL CLASSES,37651.5,HAZELNUTS,FALSE,OTHER TREE CROPS
VEGETABLES,HERBS,FRESH CUT,10271,HERBS,TRUE,HERBS
FIELD CROPS,HERBS,DRY,6293,HERBS,TRUE,HERBS
FIELD CROPS,HOPS,ALL CLASSES,20713,HOPS,TRUE,HOPS
VEGETABLES,HORSERADISH,ALL CLASSES,1308,HORSERADISH,FALSE,MISC VEGS & FRUITS
FIELD CROPS,JOJOBA,ALL CLASSES,120,JOJOBA,FALSE,OTHER TREE CROPS
FRUIT & TREE NUTS,KIWIFRUIT,ALL CLASSES,4074.5,KIWIFRUIT,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,KUMQUATS,ALL CLASSES,195.5,KUMQUATS,FALSE,MISC VEGS & FRUITS
FIELD CROPS,LEGUMES,LESPEDEZA,780,LESPEDEZA,FALSE,CLOVER/WILDFLOWERS
FIELD CROPS,LEGUMES,ALFALFA,55180,ALFALFA,TRUE,ALFALFA
FIELD CROPS,LEGUMES,VETCH,1486,VETCH,TRUE,VETCH
FIELD CROPS,LEGUMES,"CLOVER, LADINO",1,"CLOVER, LADINO",FALSE,CLOVER/WILDFLOWERS
FIELD CROPS,LEGUMES,"CLOVER, CRIMSON",5346,"CLOVER, CRIMSON",FALSE,CLOVER/WILDFLOWERS
FIELD CROPS,LEGUMES,"CLOVER, WHITE",3025,"CLOVER, WHITE",FALSE,CLOVER/WILDFLOWERS
FIELD CROPS,LEGUMES,"CLOVER, RED",12734,"CLOVER, RED",FALSE,CLOVER/WILDFLOWERS
FIELD CROPS,LEGUMES,BIRDSFOOT TREFOIL,128,BIRDSFOOT TREFOIL,FALSE,CLOVER/WILDFLOWERS
FRUIT & TREE NUTS,LEMONS,ALL CLASSES,62100,LEMONS,FALSE,"CITRUS, OTHER"
FIELD CROPS,LENTILS,ALL CLASSES,420181,LENTILS,TRUE,LENTILS
