geo.id,Dg,CropArea_acres,total_area,CropArea_prop
47025,3.27328546205025,2479,1143671902.71057,0.00877188383080216
48337,2.50548520735532,8364,2430122139.30718,0.0139284797950952
48049,4.9537516201365,11604,2478495996.4053,0.0189468621267244
55101,3.87585920305384,89917,2051640996.67519,0.17736104392661
55115,3.41245989243287,178015.5,2355324909.43259,0.305861482879361
19009,2.15568339376616,230222,1148416843.02707,0.811269344345393
48207,2.50717377469175,136078,2357569135.45755,0.233583024126447
40083,2.64161035737927,57338.5,1939447956.34831,0.119642641719905
36065,3.97486675704216,75999.5,3257262456.72498,0.0944225615099573
08065,,,994328233.435406,
40121,4.39835803940478,4572,3568552298.66288,0.00518479932888906
54017,2.84885351635202,405,830029021.859451,0.00197460186078834
54105,2.21299221894585,145,608040833.70667,0.000965057194713144
33003,13.9841522889824,406.5,2573135848.97852,0.000639316084441733
54095,4.45581050558807,242,675200766.840771,0.00145044156096427
27079,2.39190012300238,186404.5,1227185402.18548,0.614701125555963
53017,1.84445296487792,187482.5,4788377706.07813,0.158449229735894
36009,3.78291838025524,43065,3425242254.35947,0.0508804513341631
55027,3.53777197054733,310806,2349381155.635,0.535369603269206
19105,2.17875644421798,235105,1494626560.40682,0.636571170613602
20007,2.60871275842519,146699,2942652580.53455,0.201746476711775
29169,3.59763706074639,1401,1428327326.44414,0.00396943035592349
01045,3.59717420035699,30334,1457327568.95721,0.0842345573719711
20109,2.88303952597943,204667,2779314735.68273,0.298007977567133
06039,6.99423279209204,282472,5576863735.28304,0.204976072862601
29075,2.72803445134383,85595,1273539110.88959,0.271990606737917
31009,2.00023162537231,6258,1850117376.34657,0.0136884436712816
49009,1.01165495582026,2258,1866416123.1055,0.00489590809287211
56031,3.66273388736294,56010,5467056564.04793,0.0414600481197137
37071,3.49858707181572,5384.5,941938706.557434,0.0231334568318689
35019,1.19333156205696,1027,7849961147.44577,0.000529444855552836
30037,3.58913958914813,36868,3044362994.81232,0.0490084470331835
37101,5.95162326211347,125680,2060845186.70013,0.246796274872848
06085,15.1652073388584,19860.5,3377486526.40611,0.023796569238308
45019,8.39603417885107,3847.5,3517179075.2721,0.0044269227559815
53005,6.27197417677546,278554.5,4557604783.81519,0.247338266651936
29001,2.6760207740471,55984,1474830586.20353,0.153617108345199
39043,3.08470779469198,66905,1621009161.59396,0.167028623499225
17183,2.12501102799585,397543,2334091632.22252,0.689261475650921
29189,3.07310240164534,10484,1354390593.99297,0.0313257068681784
17007,2.34059421929216,122661.5,730533227.843308,0.679494730885382
06103,7.41611866205687,65421,7671997691.98456,0.0345085341053259
55025,3.26022420879577,360150.5,3205116325.33,0.454734623026672
48151,1.77736391469257,87827,2335530662.94092,0.152180943136312
22085,12,12,2619954660.30205,1.85355410170348e-05
17137,2.1172030402646,259918.5,1482240265.73082,0.709637212902832
13235,5.19493064359366,38439,650630620.950928,0.23908667838793
37015,5.35852180855899,97361,1919946954.87994,0.205217121827162
37167,4.34945965110781,47929,1048613277.04449,0.184969793645841
47143,4.75670407174966,7630,871286471.39035,0.035438992245156
37079,4.83250005326456,65025,692068525.596008,0.380232345691402
21131,,,1047395973.41721,
24039,3.12672572163465,38815,1580808488.42183,0.0993660732377979
17123,2.21172102894081,176711.5,1032231136.01756,0.692796452009727
21143,2.64926835256285,13004,664414272.015274,0.0792055847284386
48095,3.04734748651981,61772,2573654254.54193,0.0971313122123258
48081,2.08338664217259,8550,2403485199.7854,0.0143960205848613
47133,2.65056948924371,3443,1126214374.91885,0.0123718245590029
26063,5.46554357696753,382743,5534067620.05624,0.279885623743589
26069,3.69573139194174,16739,4895468151.15869,0.013837354786696
13069,3.52744113138515,73857,1560856180.1507,0.191490208124326
13299,6.2211661618692,12920.5,2351675828.23853,0.0222341054739607
38037,4.95909336524491,387084,4314742947.21808,0.363051377699861
22051,4.7622031559046,6,1662864150.24731,1.46019977222966e-05
22103,11.3817959029432,241,2837534486.39191,0.000343711205088662
19083,1.9960814113534,292355,1476281867.74221,0.801417896692173
22023,1.67599291590582,13984,5015958759.86838,0.0112822379369655
39027,2.28175773911421,179201,1067838892.34959,0.679129335844687
27137,2.57371960520264,12252,17766067196.1759,0.00279083065147458
39093,2.73611502769009,93153.5,2391686067.12721,0.157620535958069
19015,2.06666551374353,270287,1485687754.80394,0.736233221485743
48373,6.59774374110732,366,2874004664.62303,0.000515360837381478
31051,2.30175138226651,206276,1250231956.90974,0.667691583768445
24025,3.67059822098021,30635,1364038027.30478,0.0908885559042579
45037,4.15554941837412,3753,1313290111.16107,0.0115647350301296
51001,3.43117704795128,75473,3392985409.74785,0.0900175974498202
55015,4.07734607569606,118065,1028425352.03067,0.46458608062047
21121,1.89843667095377,830,1004266942.87054,0.00334461953013321
26067,3.41731491453796,188090,1502301286.32227,0.506671485553087
37129,2.67115392032614,755.5,851740368.52771,0.00358959154702051
47131,2.57610436765318,201818,1438597347.11873,0.567725549537329
21035,3.14426129334222,137460,1063699005.24586,0.522968321940401
51003,4.17062919107261,7254.5,1880237966.50848,0.015613938469085
47147,3.60292969767415,128558,1234105968.98206,0.421564906926128
51043,3.84400657772259,7884.5,461354761.939705,0.0691603123987757
53023,1.25090534631848,87741,1860350233.70264,0.190864721558959
21109,3.41376887306764,1635,897458910.541992,0.00737260522225815
27031,7.19223093324864,10,8649582370.62976,4.67867262139889e-06
45073,4.99452614833173,3806.5,1744702506.63336,0.0088292181121413
22033,6.2683978396689,797.5,1217902906.74472,0.0026499386601271
28021,2.59795789406179,7405,1298111362.56928,0.0230850546971256
24037,4.43572086411021,37570.5,1979392134.36221,0.0768126823272285
26081,4.9909143574215,110332.5,2258319841.42407,0.197713263654846
37147,5.37797901282935,142809,1697868006.83545,0.340384244534818
30009,5.05382258384747,57759,5338942274.81274,0.0437806531837057
31167,2.49181102506127,171828,1116290258.48282,0.622923330257522
13001,3.59818136387337,61008,1326751364.75427,0.18608657445286
19099,2.21136094670871,304773,1898339272.763,0.649711350399952
28153,3.96397213259955,1050,2107001173.74939,0.00201670473489039
48101,2.0053895476878,19622,2335172870.97568,0.0340049414359439
51081,3.65632189815112,28753,768720696.334381,0.151367412466091
12105,1.84888591276556,81630,5206944192.13245,0.0634431400781392
48503,1.20628442686315,33035,2410911702.70993,0.0554511812953229
01123,3.83514678589774,2105,1984589069.57239,0.0042923912560838
