geo.id,Dg_allSP,CropArea_acres,Dg_CDLcat,total_area,CropArea_prop
46093,3.12324421040205,159577,3.12324421040205,9020420474.021,0.071591475051213
18097,2.59236351927063,14300,2.59135846130402,1043791316.66194,0.0554421615858898
05017,3.81433870820895,252077,3.81433870820895,1789138862.18369,0.570173421387899
13021,3.19002134926374,2430,3.18820198819237,660203311.235657,0.014895201128311
05115,3.18792038655596,15346,3.18693351118085,2151697276.05521,0.0288623587292012
51175,4.41050193838436,96839.5,4.41043880081959,1560000070.17551,0.251215086466576
48183,2.60085691286638,147.5,2.60085691286638,714258627.115166,0.000835707542959443
36087,4.88948458071295,139.5,4.77531922208249,516061250.595825,0.00109393307533361
05089,4.48111015004946,25,4.35857395734502,1658395287.88627,6.10056066240694e-05
51800,4.49172257912385,52945,4.49149323800133,1110864662.93088,0.192877512836413
08041,1.91881278581807,6328,1.91377508806381,5515602220.45666,0.00464292137420073
29187,3.35553430191004,5821,3.35553430191004,1177598110.45308,0.0200040667742979
48475,1.25163549305466,42,1.25163549305466,2164825513.10828,7.85134731236415e-05
08061,2.6875270551711,243584,2.6875270551711,4625637203.51385,0.213105661214645
48487,2.00843930726285,138411,2.00843930726285,2532940996.90076,0.221137975565229
41015,1.51490779189129,1166,1.50134001125975,5152105358.52796,0.00091586531333408
08119,13.3579995570769,23.5,13.3579995570769,1447678992.11737,6.56921364779256e-05
29049,2.19556008780875,92014,2.19552700947674,1096814742.42718,0.339498944030137
49051,1.0322373954786,6743.5,1.0322373954786,3127582940.85722,0.00872558036046028
16029,3.64910256999596,137432,3.64910256999596,4658457936.43402,0.119388771870937
37157,5.13748680999658,15186,5.13072301451726,1483441500.62482,0.0414276947251925
05117,2.9346920944311,196612,2.9346920944311,1749827457.05521,0.454707995187097
05011,1.20343688474229,489,1.20343688474229,1691047482.32907,0.00117022899193112
48193,2.43208438207308,9028,2.43208438207308,2166247672.37733,0.0168655783211216
24011,4.49828917913257,140428,4.48521482298867,844127347.049656,0.673230118264795
27041,3.54726569446955,164373.5,3.54717594474311,1864804469.54411,0.356710832160322
30043,1.39021570293406,13799,1.39021570293406,4297859637.26892,0.0129931120338269
51059,8.9253184050665,188,8.60223860063593,1052811241.97742,0.000722645216042931
30023,1.00549556492597,3324,1.00549556492597,1920198617.25147,0.00700539549773876
47001,12.4792798948298,85,12.0787893690645,893017630.408752,0.000385191494759798
39077,2.78474310062557,196509,2.78442325447574,1281581287.32928,0.620517571980649
13005,3.86753880281266,21944,3.86753880281266,740276554.445557,0.119960867056849
10001,4.16423658972611,167075,4.16385884545537,2067666087.83935,0.327000834781314
39173,2.80738359498993,241982.5,2.80736751180664,1607160871.01753,0.609315751704065
13157,4.48202206968228,476,4.4479192871459,888623062.875733,0.0021677398860531
20003,3.02842737802629,175694,3.02842737802629,1511863703.35707,0.47028603881313
17095,2.18979601315231,272275,2.18976950625029,1864406716.91636,0.590996493635991
30107,2.73854759573297,61252,2.73848561587716,3697219704.46759,0.0670444467461097
47015,2.34968190722628,19080.5,2.34927607407442,688148635.077972,0.112208380619478
23007,4.66076320663974,855,4.63814741376168,4516560589.26685,0.00076608343290567
21165,3.28976948833125,2898,3.28976948833125,533367938.742004,0.021988179379091
46089,4.66982389446899,223413,4.66982389446899,2982462813.09128,0.303145551364157
08051,1,1394,1,8442406024.18891,0.000668212099330721
26029,3.23583122720949,13181,3.23549092080654,3601216576.10098,0.0148121095680969
27151,2.74314274334401,292584,2.74314274334401,1948079913.14679,0.607801267032653
39147,2.68471811816532,247099,2.68468799429831,1431728615.46439,0.698438352295049
13267,7.314975490227,33188,7.31394357328936,1264816994.61517,0.106186959471931
48429,1.89478677704865,1363,1.89478677704865,2386645115.16478,0.00231113761685108
37117,4.33533307817527,90226,4.33533307817527,1182881875.96054,0.308679738009311
30081,2.0935683329386,24192,2.09299796920368,6216864355.13635,0.0157477379235104
13317,4.3393411397809,1012,4.33340093644314,1227898393.66266,0.00333530748195924
53043,1.81286767007904,384314,1.81282827228261,6059687781.36011,0.256657378273234
06081,10.7074397091613,2059,8.58902716964817,1919071065.28645,0.00434193268005833
39171,3.02649479247333,156354,3.02649479247333,1095803660.41182,0.577422956253072
08009,2.74298320558694,346858,2.74298320558694,6623543799.32919,0.211923491032547
16021,3.75104005340856,32998,3.75002611949357,3310151075.55981,0.0403420161733165
16007,2.50607472680375,44216,2.50607472680375,2718487900.2117,0.0658218135011393
39159,2.50457802884933,201554.5,2.50450876331859,1131493390.18729,0.72087219409528
39035,12.2439330163747,88.5,11.1797248299672,3225901988.75978,0.000111022217857304
48285,4.44057038835948,9124,4.43896662328288,2513417287.2699,0.0146905641912268
40105,4.67259770792997,14143,4.67259770792997,1504228000.09377,0.0380492122061518
13125,3.50656246581293,2133,3.50656246581293,374131977.352112,0.0230719245386911
41059,3.76999259811245,374616.5,3.68730287746603,8369596377.25574,0.181134085877997
46102,3.52038589157726,40366,3.52038589157726,5429529463.64839,0.0300864757140172
20117,3.29622070071228,267700.5,3.29622070071228,2344176935.70557,0.462143224431401
22065,3.51444233300799,170340,3.51444233300799,1685797134.60468,0.408911314915284
30105,3.626246592881,495563,3.626246592881,13110009093.9876,0.152972610078017
13313,2.43824700066995,1249,2.43554223452087,753827744.701386,0.00670514412225548
20203,2.77435576264047,227668,2.77435576264047,1861140374.20726,0.495040417554426
46023,3.7650514284478,386772,3.7650514284478,2979097959.98904,0.525397544231897
31027,2.476837969414,334709,2.476837969414,1931733849.5951,0.701193524443854
53035,5.77266402195474,845.5,5.45684593937944,1465495953.70508,0.00233478440966598
17111,2.53807860954528,202283.5,2.53769660350453,1582688351.46597,0.517228979642333
30069,1.95199166314052,75688,1.95199166314052,4336976743.50244,0.0706248815738983
29033,2.28642949655771,234484,2.28642949655771,1816595340.04369,0.522363489783707
53075,3.06406886919037,662486.5,3.06405362564047,5640710569.13342,0.475292556570612
27147,2.32359809636084,202466,2.32359809636084,1119752500.53892,0.731724941023395
31169,2.71197937945663,242191,2.71197937945663,1489178629.90276,0.658156237349095
47033,3.71432919224093,103596,3.71427948839945,688260667.883606,0.609126973976449
19079,1.91411894203278,292397,1.91408264197314,1495749742.36855,0.791100706102566
39165,2.63785667310652,71043.5,2.63763825315337,1054917973.85594,0.272535733933788
13255,2.09295474313124,1111,2.08675508892283,516994703.194641,0.00869652524001527
