GEOID,Dg
1001,3.95763909360944
1003,7.0202225497844
1005,4.75226671535497
1007,4.17663946115145
1009,3.61801380483825
1011,7.33472241333474
1013,4.8724307195297
1015,3.70483666859977
1017,4.42848551027551
1019,3.26205579119428
1021,4.10499506480933
1023,2.39048773226532
1025,3.02998772968677
1027,2.57793432416821
1029,3.97860378180752
1031,4.69661208491545
1033,3.66064416679243
1035,3.01270742355398
1037,3.02415547139956
1039,3.69201391901258
1041,5.69253148393585
1043,3.17887032052943
1045,3.39935576526861
1047,4.44021372685806
1049,2.98241485446293
1051,2.83623470688315
1053,4.21652834629956
1055,3.35089695986996
1057,3.25496820070274
1059,3.65210245916039
1061,3.88602635382597
1063,3.36157137672511
1065,3.08659715932919
1067,3.86226092248073
1069,3.45437841666293
1071,2.96849748149497
1073,5.29125744557521
1075,4.56749953040934
1077,4.01179862130735
1079,3.86088171291328
1081,5.12543576052529
1083,3.54181890596387
1085,5.57638282503118
1087,5.11550665930568
1089,3.8713608839791
1091,3.52516570524944
1093,3.42528501954521
1095,2.86764951387657
1097,4.18877828474889
1099,3.36569469274866
1101,3.72786327078277
1103,3.43816172574306
1105,3.27792038579704
1107,4.20801319095516
1109,5.67266197300755
1111,2.73981369284084
1113,4.49617033000092
1115,4.77619458249107
1117,3.58743805351067
1119,2.1635361097061
1121,3.95069320015286
1123,4.54228839582577
1125,3.59232948462621
1127,3.26601258398176
1129,4.07468489554246
1131,4.05571423705601
1133,2.3582020720311
4003,6.48114434796818
4009,4.95905557125113
4011,4.4209926247859
4012,2.68984857551593
4013,4.67471002299569
4015,2.48432086234306
4019,4.68426723859557
4021,5.17533464253777
4025,2.31253637195624
4027,8.88622685391919
5001,3.12871483699887
5003,4.18870044591566
5007,3.35240453738464
5011,4.87126990465878
5017,3.17818756911779
5019,2.34659980995058
5021,3.84624750084803
5025,2.98013722209281
5029,2.62727213248392
5031,4.15510659930435
5033,2.01774139611121
5035,3.0258451392653
5037,3.05701915077466
5041,3.2100710466457
5043,3.7453315931292
5045,2.75857487871083
5047,2.2347308761681
5053,3.77675113952684
5055,3.43991311869953
5057,3.65195463798361
5059,2.33966820045542
5063,2.87301417243362
5067,2.92995683361785
5069,3.55818723375638
5071,2.5332891479867
5073,3.90830781642193
5075,2.77952447065976
5077,3.94425894552615
5079,3.63142939461012
5081,3.25639476021623
5083,2.71389777746501
5085,3.30049015675653
5091,3.42089991403925
5093,3.46001732863014
5095,3.4827965624992
5105,2.80526702305188
5107,3.28322023190055
5111,3.30714237795317
5115,2.970825041976
5117,2.73909193357003
5119,2.94007128489662
5121,2.9817429611448
5123,3.48443769948929
5131,2.10344421421672
5137,2.05339961421268
5145,2.76661372478406
5147,3.01869857773782
5149,2.50091259962166
6001,5.81629539920652
6005,6.11892640549632
6007,4.49352785022723
6009,3.03489627838869
6011,5.4714501923802
6013,7.22700181409392
6019,12.3940739938609
6021,6.81191620874556
6025,6.37494384356457
6029,10.1352877194938
6031,11.2208681135048
6035,1.89441498122149
6039,6.05012782480678
6041,1.36557432794269
6047,8.96229849469648
6053,5.53914106711779
6055,1.24955706809346
6061,2.5446621804273
6065,7.87661505237895
6067,10.0292689535241
6069,14.1481013106175
6071,2.58010620392917
6077,10.5066099358405
6079,3.1528208156926
6085,12.6951198091011
6087,12.1224111645159
6089,4.92319813034207
6095,10.8555089058586
6097,1.79656051218405
6099,7.65835056470134
6101,7.24042800645806
6103,6.4569979850314
6107,11.4655373208088
6113,13.1425166861245
6115,4.7696748726042
8001,3.69589196633947
8003,3.96034729083376
8005,2.97486880820709
8007,1.07558749835784
8009,3.43865162896663
8011,3.12016838495736
8013,4.53261283305038
8014,4.2616706570645
8017,3.11212576728667
8021,1.9392378080373
8023,3.23528620996029
8025,3.54629825990709
8029,2.86231364440008
8031,3.61651608608806
8033,4.41233141242568
8039,4.76886832324195
8041,3.5131126733958
8043,1.39330157442424
8045,1.05798690398026
8055,1.11608484055771
8059,1.3302186079623
8061,3.27783052056751
8063,3.16551912436813
8067,1.47709667677214
8069,4.59641154890443
8071,2.07714489309809
8073,3.85724275310447
8075,4.41342487739692
8077,2.26854796909648
8081,1.30396565908332
8083,3.3175622233114
8085,3.02947704619057
8087,4.28020873858123
8089,3.35157715153426
8095,3.18196835506096
8099,3.88271753104501
8101,5.42417858555963
8103,1.16340898496579
8105,3.53993238647312
8107,1.59492215909153
8109,4.11396490437431
8113,1.53424666064743
8115,3.43638934122004
8119,1.37272925789559
8121,3.49042286290879
8123,4.76456026814031
8125,3.10079493705551
9001,1.63266815193067
9003,4.30704414385906
9005,1.8249618980036
9007,2.8355779268243
9009,2.59072567743006
9011,2.1344740921491
9013,2.65122011801957
9015,2.25671696614861
10001,3.87334267915335
10003,3.21533163356873
10005,3.72720829512573
11001,3.96520410240509
12001,6.37338506072715
12003,8.44003036734639
12005,5.24626146731588
12007,4.24018562416451
12009,2.69750760586059
12011,6.01769184944288
12013,3.52274153275459
12015,1.24757796581127
12019,6.60088282868419
12021,1.22400337057213
12023,5.21475874735449
12029,2.91594332341532
12031,4.77351458071595
12033,4.63176776410448
12039,4.20830317679277
12041,3.54709046952652
12045,6.52627750753075
